indicator,gender,ageMonths,L,M,S,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
LENGTH_HEIGHT_FOR_AGE,FEMALE,0,1,49.1477,0.0379,43.6,45.4,47.3,49.1,51,52.9,54.7
LENGTH_HEIGHT_FOR_AGE,FEMALE,1,1,53.6872,0.0364,47.8,49.8,51.7,53.7,55.6,57.6,59.5
LENGTH_HEIGHT_FOR_AGE,FEMALE,2,1,57.0673,0.03568,51,53,55,57.1,59.1,61.1,63.2
LENGTH_HEIGHT_FOR_AGE,FEMALE,3,1,59.8029,0.0352,53.5,55.6,57.7,59.8,61.9,64,66.1
LENGTH_HEIGHT_FOR_AGE,FEMALE,4,1,62.0899,0.03486,55.6,57.8,59.9,62.1,64.3,66.4,68.6
LENGTH_HEIGHT_FOR_AGE,FEMALE,5,1,64.0301,0.03463,57.4,59.6,61.8,64,66.2,68.5,70.7
LENGTH_HEIGHT_FOR_AGE,FEMALE,6,1,65.7311,0.03448,58.9,61.2,63.5,65.7,68,70.3,72.5
LENGTH_HEIGHT_FOR_AGE,FEMALE,7,1,67.2873,0.03441,60.3,62.7,65,67.3,69.6,71.9,74.2
LENGTH_HEIGHT_FOR_AGE,FEMALE,8,1,68.7498,0.0344,61.7,64,66.4,68.7,71.1,73.5,75.8
LENGTH_HEIGHT_FOR_AGE,FEMALE,9,1,70.1435,0.03444,62.9,65.3,67.7,70.1,72.6,75,77.4
LENGTH_HEIGHT_FOR_AGE,FEMALE,10,1,71.4818,0.03452,64.1,66.5,69,71.5,73.9,76.4,78.9
LENGTH_HEIGHT_FOR_AGE,FEMALE,11,1,72.771,0.03464,65.2,67.7,70.3,72.8,75.3,77.8,80.3
LENGTH_HEIGHT_FOR_AGE,FEMALE,12,1,74.015,0.03479,66.3,68.9,71.4,74,76.6,79.2,81.7
LENGTH_HEIGHT_FOR_AGE,FEMALE,13,1,75.2176,0.03496,67.3,70,72.6,75.2,77.8,80.5,83.1
LENGTH_HEIGHT_FOR_AGE,FEMALE,14,1,76.3817,0.03514,68.3,71,73.7,76.4,79.1,81.7,84.4
LENGTH_HEIGHT_FOR_AGE,FEMALE,15,1,77.5099,0.03534,69.3,72,74.8,77.5,80.2,83,85.7
LENGTH_HEIGHT_FOR_AGE,FEMALE,16,1,78.6055,0.03555,70.2,73,75.8,78.6,81.4,84.2,87
LENGTH_HEIGHT_FOR_AGE,FEMALE,17,1,79.671,0.03576,71.1,74,76.8,79.7,82.5,85.4,88.2
LENGTH_HEIGHT_FOR_AGE,FEMALE,18,1,80.7079,0.03598,72,74.9,77.8,80.7,83.6,86.5,89.4
LENGTH_HEIGHT_FOR_AGE,FEMALE,19,1,81.7182,0.0362,72.8,75.8,78.8,81.7,84.7,87.6,90.6
LENGTH_HEIGHT_FOR_AGE,FEMALE,20,1,82.7036,0.03643,73.7,76.7,79.7,82.7,85.7,88.7,91.7
LENGTH_HEIGHT_FOR_AGE,FEMALE,21,1,83.6654,0.03666,74.5,77.5,80.6,83.7,86.7,89.8,92.9
LENGTH_HEIGHT_FOR_AGE,FEMALE,22,1,84.604,0.03688,75.2,78.4,81.5,84.6,87.7,90.8,94
LENGTH_HEIGHT_FOR_AGE,FEMALE,23,1,85.5202,0.03711,76,79.2,82.3,85.5,88.7,91.9,95
LENGTH_HEIGHT_FOR_AGE,FEMALE,24,1,85.7153,0.03764,76,79.3,82.5,85.7,88.9,92.2,95.4
LENGTH_HEIGHT_FOR_AGE,FEMALE,25,1,86.5904,0.03786,76.8,80,83.3,86.6,89.9,93.1,96.4
LENGTH_HEIGHT_FOR_AGE,FEMALE,26,1,87.4462,0.03808,77.5,80.8,84.1,87.4,90.8,94.1,97.4
LENGTH_HEIGHT_FOR_AGE,FEMALE,27,1,88.283,0.0383,78.1,81.5,84.9,88.3,91.7,95,98.4
LENGTH_HEIGHT_FOR_AGE,FEMALE,28,1,89.1004,0.03851,78.8,82.2,85.7,89.1,92.5,96,99.4
LENGTH_HEIGHT_FOR_AGE,FEMALE,29,1,89.8991,0.03872,79.5,82.9,86.4,89.9,93.4,96.9,100.3
LENGTH_HEIGHT_FOR_AGE,FEMALE,30,1,90.6797,0.03893,80.1,83.6,87.1,90.7,94.2,97.7,101.3
LENGTH_HEIGHT_FOR_AGE,FEMALE,31,1,91.443,0.03913,80.7,84.3,87.9,91.4,95,98.6,102.2
LENGTH_HEIGHT_FOR_AGE,FEMALE,32,1,92.1906,0.03933,81.3,84.9,88.6,92.2,95.8,99.4,103.1
LENGTH_HEIGHT_FOR_AGE,FEMALE,33,1,92.9239,0.03952,81.9,85.6,89.3,92.9,96.6,100.3,103.9
LENGTH_HEIGHT_FOR_AGE,FEMALE,34,1,93.6444,0.03971,82.5,86.2,89.9,93.6,97.4,101.1,104.8
